"","tweetsdf2.text","id"
"1","RT @GoodmanBakery: Do you agree? Are companies better understanding #glutenfree or #celiacdisease? https://t.co/04oCV6wyJE",1
"2","Just had @dennisrodman walk up and say what’s up while sitting at Starbucks. What a time https://t.co/l9BUw1GBCi",2
"3","@Starbucks #GiveGood Let's have the best holiday ever! Someone kick Turnip in the nugs!",3
"4","Do you agree? Are companies better understanding #glutenfree or #celiacdisease? https://t.co/04oCV6wyJE",4
"5","sitting at a starbucks trying to decide whether or not to adopt another animal rn is the best idea for me",5
"6","RT @TheSeanODonnell: If you haven’t ever had white hot chocolate from Starbucks then you messing up",6
"7","@evanrodgers @reckless The people I’ve know in that situation have relied on Starbucks, friends, and tethering when… https://t.co/qkJw3IH6JB",7
"8","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/cHOyycuXs5",8
"9","After school activities cancelled, no problem.  I found these teachers and students working together at Starbucks o… https://t.co/RnbaR8cOid",9
"10","All day every day at Starbucks https://t.co/tfD9cuDZAz",10
"11","Which I hate doing because it reminds me of my ex (she spent half her life at Starbucks, so I did too while we were dating)",11
"12","RT @inf: woman at @starbucks thought she could just look past me and take the order of the person behind me. I (melodically) yelled out ""ch…",12
"13","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",13
"14","Office Xmas party tonight, we got out early at 3 and our reservations at the restaurant aren't til 6:30. It's an ho… https://t.co/R8dNUP5GFQ",14
"15","@Damaris47258720 and I are at Starbucks and we have our merch on and we are turning heads  ‍♀️‍♀️
@EthanDolan @GraysonDolan",15
"16","@BelleBway Thank you. To show how awful I feel..... I did NOT go to Starbucks after work. ",16
"17","@EbtheCeleb @Starbucks relax. I'm awesome.",17
"18","@JD_Johnston1 @StarbucksCanada @Starbucks sounds like a yummy day!",18
"19","This racist woman was kicked out of Starbucks by the police, because karma is real https://t.co/pEp3qvxpIY via @YahooLifestyle",19
"20","I'm at Starbucks in Brooklyn, NY w/ @sexyquivie https://t.co/zIkF8hUcVH",20
"21","Trying to figure out when I can come home like, I have this huge paper due for econometrics and if I come home with… https://t.co/flR0IEPKz3",21
"22","Wow!  Talk about feeling entitled!!!!  Woman in racist rant about people speaking Korean in Starbucks… https://t.co/uLnOcxRnGQ",22
"23","RT @BlaquesBerry: Me wid mi nuff self go a Starbucks ..$620 fi SMALL cup a white milo to BBC  https://t.co/y4DKtzA4X2",23
"24","At the Starbucks drive thru with Dad...
Me: Tell him I want a venti caramel macchiato.
Dad: Oh God... A uh... Venri… https://t.co/h5lML8pqca",24
"25","Hey @Pret maybe you should let your customers use the cup they bring into use for their hot drink. Help save the pl… https://t.co/mYMlFTpeaM",25
"26","woman at @starbucks thought she could just look past me and take the order of the person behind me. I (melodically)… https://t.co/GdNJj2o7Dz",26
"27","RT @MakeupForWOC: I still can’t believe the Starbucks barista recognized me I hope I see her tomorrow ",27
"28","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",28
"29","RT @TheRoot: White lady hauled away by cops after racist freakout at Korean woman in Bay Area Starbucks https://t.co/MhB0CMkUs6 https://t.c…",29
"30","The closest Starbucks is 1.7 miles away ",30
"31","I have had the snickerdoodle hot cocoa from starbucks THRICE this week. IT’S TOO FRIGGIN GOOD.",31
"32","I liked a @YouTube video https://t.co/4Y9oVd45aI DRIVING WITH US (PT.6) TRYING COLORFUL STARBUCKS DRINKS",32
"33","@PghBB10Fan @thurrott @Patreon Are you saying the people who think the earth is flat are wrong? Guy in front of the… https://t.co/gqiTNMDfcI",33
"34",".@Amazon, @Twitter, @LinkedIn, @Starbucks, @Qualcomm, the #DITop50 survey is open! Over 1,800 companies competed la… https://t.co/EeH1ZBwKSM",34
"35","Roth Cafe update: Subway, Starbucks and all other concepts except Smash N' Shake are now open  https://t.co/X2zogmgwv3",35
"36","@MADmagazine That Pinking Feeling Dept.
MAD EXPLAINS STARBUCKS’ NEW UNICORN FRAPPUCINO",36
"37","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/stRrx37AMx",37
"38","RT @BlaquesBerry: Me wid mi nuff self go a Starbucks ..$620 fi SMALL cup a white milo to BBC  https://t.co/y4DKtzA4X2",38
"39","@AjitPaiFCC is trying to connect with the normiest of normies. I don't think he realizes that normies are either yo… https://t.co/haS0UHqEVF",39
"40","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",40
"41","Our favorite hangout spot! Spending the day hanging in the city with my dear best friend @kelseymiwalouise!  Today… https://t.co/BJwuTMPEmq",41
"42","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/SvWGBE8jwb",42
"43","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/085ADSwRGh",43
"44","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/UIirQK26vM",44
"45","Do you like drink coffee in Starbucks or at home? For me, I like drink coffee at home. https://t.co/FRfwJpaXwa",45
"46","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",46
"47","@ochocinco8514 @FUCKAKAY Sidebar ... can we burn Devon Starbucks down? The felll offf ... just throw all the employees away .",47
"48","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",48
"49","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",49
"50","'This is America. Use English only.' Woman rants at Korean student in Starbucks video https://t.co/U1br8UzPRC",50
"51","If Starbucks sold underwear, it would be my target.",51
"52","RT @TheStreet: Is a grande problem about to go venti? @briansozzi talks $SBUX https://t.co/zY1SDSFR7O",52
"53","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",53
"54","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",54
"55","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",55
"56","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",56
"57","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",57
"58","Starbucks ",58
"59","I just need to stop going to Starbucks.",59
"60","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",60
"61","RT @TheStreet: Is a grande problem about to go venti? @briansozzi talks $SBUX https://t.co/zY1SDSFR7O",61
"62","@HeatherGJB @cpcusociety @The_Institutes My final preparation was usually at the closest Starbucks to the test cent… https://t.co/AHUEVAwdI4",62
"63","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",63
"64","RT @TheStreet: Is a grande problem about to go venti? @briansozzi talks $SBUX https://t.co/zY1SDSFR7O",64
"65","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",65
"66","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",66
"67","@AniMiaOfficial If they can have Uber Eats for McDonald’s then Starbucks is not far off",67
"68","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",68
"69","Is a grande problem about to go venti? @briansozzi talks $SBUX https://t.co/zY1SDSFR7O",69
"70","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",70
"71","Me @ cute Starbucks barista, discussing how I am always here writing my book: yes I come very often

Me:

Me: that… https://t.co/K1KF7RwMW2",71
"72","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",72
"73","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",73
"74","December 15th 2017: walk into Starbucks to get a toffee almond milk hot cocoa, listening to Debussy, flurries comin… https://t.co/9LleOVaMJS",74
"75","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",75
"76","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",76
"77","Just walked into Astor Place @Starbucks and at least 10 people were sleeping. Is that a thing now? #nyc",77
